7,10,354.30,229.13,18.86,73.68,1.48,-1,-1,-1
7,13,677.01,247.11,28.45,67.56,1.02,-1,-1,-1
7,1,82.70,277.71,50.46,120.72,1.70,-1,-1,-1
8,2,436.80,236.59,32.27,77.86,1.55,-1,-1,-1
8,3,173.53,219.72,24.58,65.36,1.61,-1,-1,-1
8,4,662.92,253.92,39.57,95.40,1.62,-1,-1,-1
8,5,336.61,282.05,60.88,147.66,1.66,-1,-1,-1
8,6,226.99,240.21,64.89,73.15,1.61,-1,-1,-1
8,7,112.81,247.47,49.62,74.13,1.68,-1,-1,-1
8,8,285.41,217.57,33.35,55.26,1.10,-1,-1,-1
8,9,453.98,229.96,21.38,64.12,1.52,-1,-1,-1
8,10,358.24,230.15,19.87,72.11,1.52,-1,-1,-1
8,1,89.20,277.66,49.86,117.71,1.73,-1,-1,-1
9,2,453.93,230.00,21.46,64.09,1.52,-1,-1,-1
9,3,173.55,219.71,24.60,65.15,1.61,-1,-1,-1
9,4,662.94,253.93,39.55,95.35,1.61,-1,-1,-1
9,5,336.62,281.91,60.97,147.80,1.66,-1,-1,-1
9,6,226.97,240.31,64.96,73.05,1.61,-1,-1,-1
9,7,112.86,247.46,49.52,74.20,1.68,-1,-1,-1
9,8,285.43,217.55,33.32,55.26,1.06,-1,-1,-1
9,9,437.15,236.59,31.75,77.87,1.55,-1,-1,-1
9,10,358.25,230.12,19.84,72.15,1.52,-1,-1,-1
9,1,89.17,277.68,49.93,117.67,1.73,-1,-1,-1
10,2,454.20,230.36,23.56,61.15,1.59,-1,-1,-1
10,3,177.83,219.74,22.75,63.99,1.64,-1,-1,-1
10,4,659.78,257.29,37.23,90.70,1.50,-1,-1,-1
10,5,335.72,280.67,52.94,145.38,1.62,-1,-1,-1
10,6,231.36,241.92,61.13,70.23,1.35,-1,-1,-1
10,7,117.11,247.59,47.44,74.46,1.63,-1,-1,-1
10,8,286.34,217.62,33.39,54.53,1.50,-1,-1,-1
10,9,430.81,234.10,33.72,78.74,1.59,-1,-1,-1
10,10,359.23,230.28,20.05,71.31,1.55,-1,-1,-1
10,1,93.12,276.28,50.40,117.17,1.72,-1,-1,-1
10,15,524.71,219.00,22.55,59.75,1.46,-1,-1,-1
11,2,451.56,230.45,29.31,61.94,1.65,-1,-1,-1
11,3,182.19,219.88,22.40,64.04,1.59,-1,-1,-1
11,4,657.24,253.17,36.06,94.29,1.65,-1,-1,-1
11,5,333.84,277.64,48.96,143.53,1.71,-1,-1,-1
11,6,236.14,240.06,62.90,70.93,1.64,-1,-1,-1
11,7,122.92,247.39,44.48,73.29,1.67,-1,-1,-1
11,9,425.74,233.87,36.72,77.95,1.63,-1,-1,-1
11,10,361.11,229.87,22.14,72.51,1.27,-1,-1,-1
11,1,96.84,274.78,48.06,115.81,1.71,-1,-1,-1
11,13,665.62,247.10,27.95,72.42,1.15,-1,-1,-1
12,2,448.17,230.45,34.34,60.87,1.60,-1,-1,-1
12,3,186.22,219.97,21.54,64.58,1.59,-1,-1,-1
12,4,655.30,254.00,33.81,91.18,1.56,-1,-1,-1
12,5,329.27,277.67,50.76,141.26,1.72,-1,-1,-1
12,6,241.56,238.74,59.20,71.11,1.63,-1,-1,-1
12,7,125.49,246.45,44.26,77.08,1.65,-1,-1,-1
12,9,423.02,233.82,37.69,77.28,1.64,-1,-1,-1
12,10,361.42,231.42,21.62,70.39,1.44,-1,-1,-1
